lon,lat,city,country,name
31,-17.8,Harare,Zimbabwe,Marlene Mhangami
5.6, -0.18,Accra, Ghana,Mannie Young
-8, 33,El Jadida,Marocco,Sara EL-ATEIF
36, -1.2,Nairobi,Kenya,Mariam Haji
-79,34,Salem,Nigeria,Boluwaji Akinlade
139,35,Tokyo,Japan,Iqbal Abdullah
-117,33,Irvine,USA,Phoebe Chua
100,13,Bangkok,Thailand,Georgie Ker
77, 12,Bangalore,India,Sayantika Banik
121,31,Shanghai,China,Cynthia Xin
35,31,Modi'in,Israel,Reuven Lerner
9.9, 53,Hamburg,Germany,Christian Heimes | Tereza Iofciu
-0.12,51,London,UK,Anna Ossowski
-87,41,Chicago,USA,Lorena Mesa
-97,30,Austin,USA,Dustin Ingram
151,-33,Sydney,Australia,Anthony Shaw
-99,19,Mexico City,Mexico,Katia Lira 
-35,-5,Natal,Brazil,Débora Azevedo 
-58,-34,Buenos Aires,Argentina,Manuel Kaufmann 
